Producto,Código (SKU),PVP (€),10%,15%,20%,25%,30%
M4 pulsador oculto para Geberit Delta sin consumibles,E10049,371,333.9,315.35,296.8,278.25,259.7
M1 pulsador oculto para Jomotech sin consumibles,E10030,310.5,279.45,263.93,248.4,232.88,217.35
Marco oculto EDPLIT para enchufe e interruptor – simple,E40009,10.81,9.73,9.19,8.65,8.11,7.57
Marco oculto EDPLIT para enchufe e interruptor – doble,E40010,19.55,17.6,16.62,15.64,14.66,13.69
Marco oculto EDPLIT para enchufe e interruptor – triple,E40011,28.75,25.88,24.44,23,21.56,20.13
Marco oculto EDPLIT para enchufe e interruptor – cuadruple,E40012,36.8,33.12,31.28,29.44,27.6,25.76
Mecanismo de enchufe EDPLIT ONE (tipo F) – negro/blanco/beige,E40013/E40014/E40015,57,51.3,48.45,45.6,42.75,39.9
Interruptor invisible EDPLIT – simple,E40016,57,51.3,48.45,45.6,42.75,39.9
Interruptor invisible EDPLIT – doble,E40017,80,72,68,64,60,56
Juego de soportes ocultos para toallas (3 uds.),E60001,110,99,93.5,88,82.5,77
Juego de soportes ocultos para toallas (5 uds.),E60002,160,144,136,128,120,112
Toallero Oculto (bola-iman) 1 ud (Sin corona de perforacion),E60005,59,53.1,50.15,47.2,44.25,41.3
Toallero Oculto (bola-iman) 3 ud (Sin corona de perforacion),E60006,159,143.1,135.15,127.2,119.25,111.3
Corona de perforacion de diamante / 42 mm,E90021,59,53.1,50.15,47.2,44.25,41.3
Termostato oculto Edplit (incluye marco de montaje),E40032,298,268.2,253.3,238.4,223.5,208.6
