nombre,tipo,ciudad,provincia,telefono,web,direccion
SCHMIDT Gandía,instalador,Gandía,Valencia,673834494,"https://www.home-design.schmidt/es-es/tiendas/valencia/gandia","Carrer de l'Exportació 37, 46702 Gandia, Valencia"
Invest Build Multiply Company SL.,instalador,El Real de Gandía,Valencia,666152226,https://ibm-company.es/,"Carrer Cementeri de Benipeixcar 23, 46727 El Real de Gandia, Valencia"
Ciagan Gamma,instalador,Gandía,Valencia,962877833,http://www.ciagan.com/,"Av. d'Alcodar 44, 46701 Gandia, Valencia"
Luisan – Construcciones e interiorismo,instalador,Alicante,Alicante,607717991,https://luisaninteriorismo.com/,"Av. Historiador Vicente Ramos 28, 03540 Alicante"
Aurum,instalador,Barcelona,Barcelona,654594590,#,"Sant Marius 29, Barcelona"
